Observation_Id,Day,Treatment,Observation_Duration,Walking_TotalDuration,Sitting_TotalDuration,OtherMovement_TotalDuration,Kicking_TotalNumber,WaspContact_TotalNumber,Walking_Per_Obs,Sitting_Per_Obs,OtherMovement_Per_Obs,Walking_Number_Per_Obs,Sitting_Number_Per_Obs,OtherMovement_Number_Per_Obs,Walking_Duration_Per_Event,Sitting_Duration_Per_Event,OtherMovement_Duration_Per_Event
WA_1,,C,897.943,0,648.999,248.944,0,.,0,0.722761913,0.277238087,0,5,5,.,129.7998,49.7888
WA_2,,C,894.552,42.035,535.27,317.247,0,.,0.046990002,0.598366557,0.354643442,3,8,11,21.0175,76.46714286,28.84063636
WA_3,,C,891.374,27.297,557.288,306.789,0,.,0.030623509,0.625201094,0.344175397,2,8,11,13.6485,69.661,27.88990909
WA_4,,C,896.194,2.11,627.062,267.022,0,.,0.002354401,0.699694486,0.297951113,1,8,9,2.11,78.38275,29.66911111
WA_5,,C,896.577,272.705,389.091,234.781,0,.,0.304162386,0.433973881,0.261863733,4,4,8,68.17625,97.27275,29.347625
WA_6,,C,899.076,0,646.212,252.864,0,.,0,0.718751251,0.281248749,0,4,4,.,161.553,63.216
WA_7,,C,896.475,13.009,304.006,579.46,0,.,0.01451128,0.339112636,0.646376084,3,11,14,4.336333333,27.63690909,41.39
WA_8,,C,898.757,79.922,67.521,751.314,0,.,0.088925038,0.075127092,0.83594787,3,2,6,26.64066667,33.7605,125.219
WA_9,,C,898.474,126.21,76.162,696.102,0,.,0.140471511,0.084768174,0.774760316,5,2,8,25.242,38.081,87.01275
WA_10,,C,897.266,70.177,422.142,404.947,0,.,0.078212035,0.470475868,0.451312097,2,7,9,35.0885,60.306,44.99411111
WA_W_1,,P,899.989,27.003,737.479,135.507,1,.,0.0300037,0.819431126,0.150565174,1,5,6,27.003,147.4958,22.5845
WA_W_2,,P,897.023,39.169,733.529,124.325,0,0,0.043665547,0.817737115,0.138597338,3,3,4,13.05633333,244.5096667,31.08125
WA_W_3,,P,898.214,0,641.242,256.972,0,2,0,0.713907822,0.286092178,0,5,5,.,128.2484,51.3944
WA_W_4,,P,898.468,0,804.42,94.048,0,4,0,0.89532404,0.10467596,0,5,4,.,160.884,23.512
WA_W_5,,P,896.202,0,646.089,250.113,0,0,0,0.720918945,0.279081055,0,5,5,.,129.2178,50.0226
WA_W_6,,P,898.359,61.916,652.424,184.019,0,0,0.068921222,0.726239733,0.204839045,2,3,5,30.958,217.4746667,36.8038
WA_W_7,,P,898.149,27.743,608.714,261.692,0,0,0.030889084,0.67774278,0.291368136,2,5,6,13.8715,121.7428,43.61533333
WA_W_8,,P,895.806,24.157,711.727,159.922,0,0,0.026966776,0.794510195,0.178523028,2,9,10,12.0785,79.08077778,15.9922
WA_W_9,,P,897.775,52.509,666.192,179.074,1,2,0.058487928,0.74204784,0.199464231,2,8,10,26.2545,83.274,17.9074
WA_W_10,,P,899.066,0,814.248,84.818,0,1,0,0.905659874,0.094340126,0,5,5,.,162.8496,16.9636
