dish,trt,day,adults,nymphs
1,MS-C,1,5,NA
2,MS-C,1,5,NA
3,MS-C,1,5,NA
4,MS-C,1,5,NA
5,MS-C,1,5,NA
6,MS-C,1,5,NA
7,MS-C,1,5,NA
8,MS-C,1,5,NA
9,MS-C,1,5,NA
10,MS-C,1,5,NA
11,MS-C,1,5,NA
12,MS-C,1,4,NA
13,MS,1,5,NA
14,MS,1,5,NA
15,MS,1,5,NA
16,MS,1,4,NA
17,MS,1,5,NA
18,MS,1,5,NA
19,MS,1,5,NA
20,MS,1,4,NA
21,MS,1,4,NA
22,MS,1,5,NA
23,MS,1,5,NA
24,MS,1,5,NA
25,NS-C,1,4,8
26,NS-C,1,5,7
27,NS-C,1,5,5
28,NS-C,1,5,6
29,NS-C,1,5,8
30,NS-C,1,5,3
31,NS-C,1,4,6
32,NS-C,1,5,7
33,NS-C,1,5,6
34,NS-C,1,5,7
35,NS-C,1,5,14
36,NS-C,1,5,10
37,NS,1,5,3
38,NS,1,5,10
39,NS,1,5,6
40,NS,1,5,3
41,NS,1,5,6
42,NS,1,5,16
43,NS,1,5,5
44,NS,1,5,5
45,NS,1,5,5
46,NS,1,5,3
47,NS,1,5,1
48,NS,1,5,7
1,MS-C,2,5,2
2,MS-C,2,5,2
3,MS-C,2,5,4
4,MS-C,2,5,1
5,MS-C,2,4,1
6,MS-C,2,4,0
7,MS-C,2,5,8
8,MS-C,2,3,3
9,MS-C,2,4,4
10,MS-C,2,5,1
11,MS-C,2,5,2
12,MS-C,2,2,1
13,MS,2,5,2
14,MS,2,5,8
15,MS,2,5,5
16,MS,2,4,3
17,MS,2,5,9
18,MS,2,5,4
19,MS,2,5,5
20,MS,2,5,4
21,MS,2,4,2
22,MS,2,5,6
23,MS,2,4,3
24,MS,2,4,8
25,NS-C,2,NA,NA
26,NS-C,2,NA,NA
27,NS-C,2,NA,NA
28,NS-C,2,NA,NA
29,NS-C,2,NA,NA
30,NS-C,2,NA,NA
31,NS-C,2,NA,NA
32,NS-C,2,NA,NA
33,NS-C,2,NA,NA
34,NS-C,2,NA,NA
35,NS-C,2,NA,NA
36,NS-C,2,NA,NA
37,NS,2,NA,NA
38,NS,2,NA,NA
39,NS,2,NA,NA
40,NS,2,NA,NA
41,NS,2,NA,NA
42,NS,2,NA,NA
43,NS,2,NA,NA
44,NS,2,NA,NA
45,NS,2,NA,NA
46,NS,2,NA,NA
47,NS,2,NA,NA
48,NS,2,NA,NA
1,MS-C,3,NA,1
2,MS-C,3,NA,0
3,MS-C,3,NA,4
4,MS-C,3,NA,1
5,MS-C,3,NA,1
6,MS-C,3,NA,0
7,MS-C,3,NA,0
8,MS-C,3,NA,3
9,MS-C,3,NA,0
10,MS-C,3,NA,1
11,MS-C,3,NA,1
12,MS-C,3,NA,1
13,MS,3,NA,7
14,MS,3,NA,0
15,MS,3,NA,4
16,MS,3,NA,3
17,MS,3,NA,5
18,MS,3,NA,4
19,MS,3,NA,4
20,MS,3,NA,0
21,MS,3,NA,0
22,MS,3,NA,0
23,MS,3,NA,0
24,MS,3,NA,6
25,NS-C,3,NA,4
26,NS-C,3,NA,0
27,NS-C,3,NA,2
28,NS-C,3,NA,1
29,NS-C,3,NA,0
30,NS-C,3,NA,0
31,NS-C,3,NA,1
32,NS-C,3,NA,7
33,NS-C,3,NA,0
34,NS-C,3,NA,0
35,NS-C,3,NA,13
36,NS-C,3,NA,11
37,NS,3,NA,3
38,NS,3,NA,4
39,NS,3,NA,5
40,NS,3,NA,1
41,NS,3,NA,3
42,NS,3,NA,0
43,NS,3,NA,5
44,NS,3,NA,0
45,NS,3,NA,5
46,NS,3,NA,0
47,NS,3,NA,0
