Day,Round,Treatment,Block,Plant,Adults,Nymphs,PropSurvive
1,1,C,1,1,2,0,.
1,1,C,1,2,3,2,.
1,1,C,1,4,3,0,.
1,1,C,2,6,3,2,.
1,1,C,2,7,3,0,.
1,1,C,3,9,3,0,.
1,1,C,3,10,2,0,.
1,1,C,3,11,3,3,.
2,1,C,1,1,2,3,.
2,1,C,1,2,3,4,.
2,1,C,1,4,3,1,.
2,1,C,2,6,3,3,.
2,1,C,2,7,3,3,.
2,1,C,3,9,2,2,.
2,1,C,3,10,2,0,.
2,1,C,3,11,3,5,.
6,1,C,1,1,0,3,1
6,1,C,1,2,0,4,1
6,1,C,1,4,0,1,1
6,1,C,2,6,0,3,1
6,1,C,2,7,0,2,0.666666667
6,1,C,3,9,0,1,0.5
6,1,C,3,10,0,0,.
6,1,C,3,11,0,5,1
1,1,P,1,2,3,1,.
1,1,P,1,3,3,0,.
1,1,P,2,6,2,0,.
1,1,P,2,7,3,1,.
1,1,P,2,8,3,0,.
1,1,P,3,9,2,1,.
1,1,P,3,11,3,0,.
2,1,P,1,2,3,2,.
2,1,P,1,3,3,4,.
2,1,P,2,6,2,1,.
2,1,P,2,7,3,1,.
2,1,P,2,8,3,2,.
2,1,P,3,9,2,1,.
2,1,P,3,11,3,0,.
6,1,P,1,2,0,0,0
6,1,P,1,3,0,3,0.75
6,1,P,2,6,0,0,0
6,1,P,2,7,0,1,1
6,1,P,2,8,0,0,0
6,1,P,3,9,0,0,0
6,1,P,3,11,0,0,.
1,2,C,1,1,3,3,.
1,2,C,1,2,3,4,.
1,2,C,1,3,3,5,.
1,2,C,1,4,3,2,.
1,2,P,1,3,3,3,.
1,2,P,1,4,3,3,.
1,2,C,2,5,3,12,.
1,2,C,2,6,3,3,.
1,2,C,2,7,3,2,.
1,2,P,2,5,3,4,.
1,2,P,2,6,3,8,.
1,2,P,2,7,3,4,.
1,2,P,2,8,3,1,.
1,2,C,3,9,3,3,.
1,2,C,3,10,3,2,.
1,2,C,3,11,3,2,.
1,2,C,3,12,3,4,.
1,2,P,3,11,3,3,.
1,2,P,3,12,3,0,.
2,2,C,1,1,3,5,.
2,2,C,1,2,3,2,.
2,2,C,1,3,3,4,.
2,2,C,1,4,3,3,.
2,2,P,1,3,3,2,.
2,2,P,1,4,3,1,.
2,2,C,2,5,3,4,.
2,2,C,2,6,3,4,.
2,2,C,2,7,2,2,.
2,2,P,2,5,3,4,.
2,2,P,2,6,3,2,.
2,2,P,2,7,3,6,.
2,2,P,2,8,3,5,.
2,2,C,3,9,2,2,.
2,2,C,3,10,3,1,.
2,2,C,3,11,3,2,.
2,2,C,3,12,3,3,.
2,2,P,3,11,3,0,.
2,2,P,3,12,3,4,.
6,2,C,1,1,0,3,0.6
6,2,C,1,2,0,2,1
6,2,C,1,3,0,4,1
6,2,C,1,4,0,1,0.333333333
6,2,P,1,3,0,2,1
6,2,P,1,4,0,1,1
6,2,C,2,5,0,3,0.75
6,2,C,2,6,0,4,1
6,2,C,2,7,0,1,0.5
6,2,P,2,5,0,0,0
6,2,P,2,6,0,3,1.5
6,2,P,2,7,0,5,0.833333333
6,2,P,2,8,0,0,0
6,2,C,3,9,0,0,0
6,2,C,3,10,0,0,0
6,2,C,3,11,0,0,0
6,2,C,3,12,0,2,0.666666667
6,2,P,3,11,0,0,.
6,2,P,3,12,0,0,0
