File Name,Component RT,Compound Name,Match Factor,Best Hit,Formula,Model Peak Area,Model Peak Height,Base Peak Area,Component Area,Model Peak MZ,Base Peak MZ
MP_010824_AVOC_T3.D,5.09913592037987,Octane,97.5523438167549,True,C8H18,134621.567306169,34502.5856152199,167478.16626655,741868.012639792,85.1,43.08
MP_010824_AVOC_T4.D,5.09985882307197,Octane,97.9442513304591,True,C8H18,139989.853159314,34635.1058459586,176105.113845125,764430.613725143,85.1,43.08
MP_010824_AVOC_CC1.D,5.10064790279805,Octane,97.0402840168657,True,C8H18,137717.256565588,39566.552749079,182089.597035922,752010.605471706,85,43
MP_010824_AVOC_C3.D,5.10229195484673,Octane,96.5460563368239,True,C8H18,249186.124184981,74791.0958445066,327586.948795382,1358079.31025671,85.1,43.08
11062023_MM_T3.D,5.23279844293904,Octane,97.6841471146773,True,C8H18,246030.56290278,68666.3501798197,246030.56290278,1060683.38577469,43.04,43.04
11062023_MM_C3.D,5.23371561137398,Octane,97.5385956666783,True,C8H18,276950.676575051,68422.1354301033,276950.676575051,1182983.42779259,43,43
11062023_MP_T3.D,5.2337782406912,Octane,96.7140528725197,True,C8H18,211004.130879918,56043.7777274476,279910.291992489,1180070.13415165,85.08,43.06
11062023_MM_T1.D,5.23385799787631,Octane,98.1691630703185,True,C8H18,220947.802442881,58023.5086363318,289804.275819475,1215771.43492376,85.09,43.07
11062023_MM_C1.D,5.23432529273522,Octane,97.6034602329402,True,C8H18,202944.019147279,57923.2109375,259903.532827406,1137028.46040169,85.09,43.07
11062023_MP_T2.D,5.23463250282574,Octane,97.0149822875259,True,C8H18,195329.749667685,51182.7282347042,260651.968070217,1118290.65950445,85,43
11062023_MM_T2.D,5.23466451682489,Octane,97.9578129254745,True,C8H18,224073.015699094,59390.2352144397,289609.712223183,1289358.31288038,85,43
11062023_MM_C2.D,5.23470325098677,Octane,97.5688726947579,True,C8H18,150901.599089491,41663.4174659819,293821.608791659,1269263.56938166,57,43
11062023_MP_T1.D,5.23525639832193,Octane,97.6238077427153,True,C8H18,246342.357234618,71191.3169181984,246342.357234618,1054683.01021579,43.04,43.04
11062023_MP_C3.D,5.23566096078255,Octane,97.5456678575919,True,C8H18,199855.040838317,59167.0069508821,259391.30063753,1136451.29931824,85,43
