Day,PotID,Trt,GrowthRate
1,1,C,0.09531018
1,2,P,-0.105360516
1,3,C,0.223143551
1,4,P,-0.356674944
1,5,C,0.262364264
1,6,P,0
1,7,C,-0.051293294
1,8,P,-0.162518929
1,9,C,-0.051293294
1,10,P,-0.287682072
1,11,C,0.336472237
1,12,P,-0.356674944
1,13,C,-0.356674944
1,14,P,-0.287682072
1,15,C,0.336472237
1,16,P,-0.223143551
1,17,C,0.139761942
1,18,P,-0.356674944
1,19,C,0.09531018
1,22,P,-0.105360516
1,23,C,-0.105360516
2,1,C,0.167054085
2,2,P,0.441832752
2,3,C,0.336472237
2,4,P,0.133531393
2,5,C,0.109199292
2,6,P,-0.051293294
2,7,C,0
2,8,P,-0.194156014
2,9,C,0
2,10,P,-0.143100844
2,11,C,-0.241162057
2,12,P,-0.15415068
2,13,C,0.068992871
2,14,P,0.470003629
2,15,C,-0.036367644
2,16,P,0.405465108
2,17,C,0.16034265
2,18,P,0
2,19,C,-0.09531018
2,22,P,0.15415068
2,23,C,0.105360516
3,1,C,0.430782916
3,2,P,-0.074107972
3,3,C,0.055569851
3,4,P,0
3,5,C,0.461345567
3,6,P,0.313657559
3,7,C,0.387765531
3,8,P,0.133531393
3,9,C,0.233614851
3,10,P,0.074107972
3,11,C,0.492476485
3,12,P,0
3,13,C,0.182321557
3,14,P,0.510825624
3,15,C,0.287682072
3,16,P,0.15415068
3,17,C,0.393042588
3,18,P,-0.241162057
3,19,C,0.336472237
3,22,P,0.451985124
3,23,C,0.262364264
4,1,C,0.024692613
4,2,P,0.109199292
4,3,C,0.217723484
4,4,P,0
4,5,C,0.16034265
4,6,P,-0.424883194
4,7,C,0.101782694
4,8,P,0.060624622
4,9,C,0.040821995
4,10,P,0.133531393
4,11,C,0.027398974
4,12,P,0.287682072
4,13,C,0
4,14,P,-0.693147181
4,15,C,0.080042708
4,16,P,0.133531393
4,17,C,0.048790164
4,18,P,-0.09531018
4,19,C,-0.15415068
4,22,P,-0.164303051
4,23,C,0
5,1,C,0.070617567
5,2,P,0.098440073
5,3,C,0.196710294
5,4,P,0.117783036
5,5,C,0.105360516
5,6,P,-0.060624622
5,7,C,-0.032789823
5,8,P,-0.060624622
5,9,C,-0.040821995
5,10,P,0
5,11,C,0
5,12,P,0.171850257
5,13,C,0
5,14,P,0
5,15,C,0.09763847
5,16,P,0
5,17,C,-0.024097552
5,18,P,0.09531018
5,19,C,0.223143551
5,22,P,0.068992871
5,23,C,0.109199292
6,1,C,0.204794413
6,2,P,-0.064538521
6,3,C,0.318453731
6,4,P,-0.117783036
6,5,C,0.15415068
6,6,P,-0.287682072
6,7,C,-0.033901552
6,8,P,0.117783036
6,9,C,0.223143551
6,10,P,-0.064538521
6,11,C,0.359374001
6,12,P,-0.459532329
6,13,C,0.287682072
6,14,P,0.048790164
6,15,C,-0.023530497
6,16,P,0.089612159
6,17,C,0.218253566
6,18,P,-0.200670695
6,19,C,0.032789823
6,22,P,0.15415068
6,23,C,0.159064695
7,1,C,0.341749294
7,2,P,-0.033901552
7,3,C,-0.039740329
7,4,P,0.117783036
7,5,C,0.108213585
7,6,P,0.287682072
7,7,C,0.129211731
7,8,P,-0.057158414
7,9,C,0.09531018
7,10,P,0.064538521
7,11,C,0.292387963
7,12,P,0.080042708
7,13,C,0.223143551
7,14,P,0
7,15,C,0.322773392
7,16,P,0.028170877
7,17,C,0.057158414
7,18,P,0.200670695
7,19,C,-0.032789823
7,22,P,0.028170877
7,23,C,0.162518929
8,1,C,0.013072082
8,2,P,-0.03509132
8,3,C,0.138586163
8,4,P,-0.117783036
8,5,C,0.405465108
8,6,P,-0.470003629
8,7,C,0.332133835
8,8,P,-0.194156014
8,9,C,0.415515444
8,10,P,-0.133531393
8,11,C,0.191667419
8,12,P,0.143100844
8,13,C,0.470003629
8,14,P,-0.211309094
8,15,C,0.230016431
8,16,P,0.15415068
8,17,C,0.230523659
8,18,P,-0.318453731
8,19,C,0.236388778
8,22,P,0.405465108
8,23,C,0.048790164
9,1,C,0.22054277
9,2,P,-0.498991166
9,3,C,0.302280872
9,4,P,-0.575364145
9,5,C,0.300421098
9,6,P,0
9,7,C,0.042559614
9,8,P,0
9,9,C,0.378436436
9,10,P,-0.84729786
9,11,C,0.413187154
9,12,P,0.182321557
9,13,C,0.255933374
9,14,P,-0.530628251
9,15,C,0.314710745
9,16,P,-0.47957308
9,17,C,0.525424423
9,18,P,-0.693147181
9,19,C,0.123613956
9,22,P,0.121889818
9,23,C,0.30538165
10,1,C,0.279838895
10,2,P,0.162518929
10,3,C,0.091349779
10,4,P,-0.251314428
10,5,C,0.194900339
10,6,P,0.262364264
10,7,C,0.206336433
10,8,P,-0.559615788
10,9,C,0.091567194
10,10,P,-0.693147181
10,11,C,0.268263987
10,12,P,0.105360516
10,13,C,0.303682414
10,14,P,-0.916290732
10,15,C,0.173953307
10,16,P,0.749236647
10,17,C,0.189541805
10,18,P,-0.693147181
10,19,C,0.299242895
10,22,P,0.36646295
10,23,C,0.205443974
11,1,C,0.179693434
11,2,P,-0.105360516
11,3,C,0.257468294
11,4,P,0.619039208
11,5,C,0.08483888
11,6,P,-2.564949357
11,7,C,0.065597282
11,8,P,-0.287682072
11,9,C,0.182321557
11,10,P,0
11,11,C,0.167506471
11,12,P,0.300104592
11,13,C,0.31411533
11,14,P,-0.693147181
11,15,C,0.15535044
11,16,P,0.226773319
11,17,C,0.076161361
11,18,P,0
11,19,C,0.098440073
11,22,P,0.32668423
11,23,C,0.041964199
