Day,PotID,Trt,Aphids,Alates,Mummies
1,1,C,22,0,0
1,2,P,18,0,0
1,3,C,25,0,0
1,4,P,14,0,0
1,5,C,26,0,0
1,6,P,20,0,0
1,7,C,19,0,0
1,8,P,17,0,0
1,9,C,19,0,0
1,10,P,15,0,0
1,11,C,28,0,0
1,12,P,14,0,0
1,13,C,14,0,0
1,14,P,15,0,0
1,15,C,28,0,0
1,16,P,16,0,0
1,17,C,23,0,0
1,18,P,14,0,0
1,19,C,22,0,0
1,20,P,18,0,0
1,21,C,8,0,0
1,22,P,18,0,0
1,23,C,18,0,0
1,24,P,19,0,0
2,1,C,26,0,0
2,2,P,28,0,0
2,3,C,35,0,0
2,4,P,16,0,0
2,5,C,29,0,0
2,6,P,19,0,0
2,7,C,19,0,0
2,8,P,14,0,0
2,9,C,19,0,0
2,10,P,13,0,0
2,11,C,22,0,0
2,12,P,12,0,0
2,13,C,15,0,0
2,14,P,24,0,0
2,15,C,27,0,0
2,16,P,24,0,0
2,17,C,27,0,0
2,18,P,14,0,0
2,19,C,20,0,0
2,20,P,0,0,0
2,22,P,21,0,0
2,23,C,20,0,0
3,1,C,40,0,0
3,2,P,26,0,0
3,3,C,37,0,0
3,4,P,16,0,0
3,5,C,46,0,0
3,6,P,26,0,0
3,7,C,28,0,0
3,8,P,16,0,0
3,9,C,24,0,0
3,10,P,14,0,0
3,11,C,36,0,0
3,12,P,12,0,0
3,13,C,18,0,0
3,14,P,40,0,0
3,15,C,36,0,0
3,16,P,28,0,0
3,17,C,40,0,0
3,18,P,11,0,0
3,19,C,28,0,0
3,22,P,33,0,0
3,23,C,26,0,0
4,1,C,41,0,0
4,2,P,29,0,0
4,3,C,46,0,0
4,4,P,16,0,0
4,5,C,54,0,0
4,6,P,17,0,0
4,7,C,31,0,0
4,8,P,17,0,0
4,9,C,25,0,0
4,10,P,16,0,0
4,11,C,37,0,0
4,12,P,16,0,0
4,13,C,18,0,0
4,14,P,20,0,0
4,15,C,39,0,0
4,16,P,32,0,0
4,17,C,42,0,0
4,18,P,10,0,0
4,19,C,24,0,0
4,22,P,28,0,0
4,23,C,26,0,0
5,1,C,44,0,0
5,2,P,32,0,0
5,3,C,56,0,0
5,4,P,18,0,0
5,5,C,60,0,0
5,6,P,16,0,0
5,7,C,30,0,0
5,8,P,16,0,0
5,9,C,24,0,0
5,10,P,16,0,0
5,11,C,37,0,0
5,12,P,19,0,0
5,13,C,18,0,0
5,14,P,20,0,0
5,15,C,43,0,0
5,16,P,32,0,0
5,17,C,41,1,0
5,18,P,11,0,0
5,19,C,30,0,0
