Treatment,Trial,E1,E2,C,G,TimeToFirstSusE2,pd,probes
Control,Trial1_ch6_C,0,0,170.1648333,0,480,37,22
Control,Trial1_ch7_C,0.0905,409.9936667,69.91566667,0,70.00633333,58,1
Control,Trial2_ch1_C,2.896666667,350.681,68.7185,0,109.7123333,63,2
Control,Trial2_ch4_C,0,0,432.5518333,0,480,154,39
Control,Trial2_ch5_C,1.017166667,3.9175,168.4965,92.34683333,480,110,18
Control,Trial3_ch2_C,1.7915,431.9921667,39.76166667,0,40.30566667,30,4
Control,Trial3_ch4_odd_C,0,0,433.1865,3.411,480,122,26
Control,Trial3_ch8_C,21.868,37.16716667,367.5373333,0.666833333,79.876,158,28
Control,Trial4_ch1_C,1.334333333,408.8508333,69.81466667,0,71.14916667,72,1
Control,Trial4_ch3_C,1.934666667,0,120.9226667,203.8031667,480,98,6
Control,Trial4_ch7_C,0.533,0.970666667,421.6185,56.87766667,480,265,1
Control,Trial5_ch1_C,1.724666667,395.1441667,72.00766667,0,84.85583333,46,7
Control,Trial5_ch6_C,8.782166667,0,372.5063333,0,480,145,56
Control,Trial5_ch8_C,1.216833333,191.1145,214.0328333,10.952,288.8855,179,8
Control,Trial6_ch3_odd_C,5.551,0,316.6038333,0,480,76,31
Control,Trial6_ch4_C,1.147833333,266.1463333,199.3866667,0,213.8536667,122,18
Control,Trial6_ch5_C,0,0,426.3498333,22.6355,480,154,20
Control,Trial6_ch7_C,1.4905,420.7705,57.39516667,0,59.2295,27,3
Wasp  ,Trial1_ch1_W,6.220666667,347.8555,124.5663333,0,119.4606667,71,5
Wasp  ,Trial1_ch3_W,6.615666667,14.59366667,176.5801667,56.12866667,480,179,4
Wasp  ,Trial1_ch4_W,0.596,339.7111667,127.6961667,0,140.2888333,101,12
Wasp  ,Trial1_ch5_W,3.995666667,403.0738333,68.41633333,0,76.92616667,55,4
Wasp  ,Trial1_ch8_W,0.818,2.0955,337.3213333,64.399,480,128,30
Wasp  ,Trial2_ch6_W,0,0,373.2235,52.75566667,480,274,30
Wasp  ,Trial3_ch1_W,5.043833333,187.169,143.4795,0,292.831,67,13
Wasp  ,Trial3_ch4_W,1.1695,151.1186667,327.1383333,0,322.0753333,83,2
Wasp  ,Trial3_ch8_W,3.383166667,0,456.422,13.164,480,16,4
Wasp  ,Trial6_ch4_W,0,0,328.591,115.2581667,480,114,19
Wasp  ,Trial9_ch1_W,0.787666667,268.6088333,210.6033333,0,211.3911667,57,1
